time,open,high,low,close,Volume,Volume MA
2020-10-01T09:00:00+02:00,210.2,210.7,209.1,209.2,69110,NaN
2020-10-01T09:15:00+02:00,209.3,210,209.2,209.8,32128,NaN
2020-10-01T09:30:00+02:00,209.9,209.9,209.4,209.6,30310,NaN
2020-10-01T09:45:00+02:00,209.5,209.7,209.1,209.3,51456,NaN
2020-10-01T10:00:00+02:00,209.5,209.5,208.8,209.1,35726,NaN
2020-10-01T10:15:00+02:00,209.1,209.6,209.1,209.4,46187,NaN
2020-10-01T10:30:00+02:00,209.5,209.5,208.2,208.3,33517,NaN
2020-10-01T10:45:00+02:00,208.3,208.6,208,208.1,18106,NaN
2020-10-01T11:00:00+02:00,208.1,209,208.1,208.9,23727,NaN
2020-10-01T11:15:00+02:00,208.9,209.7,208.9,209.6,11548,NaN
2020-10-01T11:30:00+02:00,209.5,209.5,209.1,209.3,18679,NaN
2020-10-01T11:45:00+02:00,209.3,209.55,209.3,209.5,14500,NaN
2020-10-01T12:00:00+02:00,209.5,209.6,209.1,209.1,13745,NaN
2020-10-01T12:15:00+02:00,209.1,209.1,208.7,208.9,17870,NaN
2020-10-01T12:30:00+02:00,208.9,209.2,208.45,208.45,23778,NaN
2020-10-01T12:45:00+02:00,208.5,208.6,208.3,208.4,18071,NaN
2020-10-01T13:00:00+02:00,208.3,209.1,208.3,209.05,14628,NaN
2020-10-01T13:15:00+02:00,209,209.3,208.9,209.3,13125,NaN
2020-10-01T13:30:00+02:00,209.4,209.5,208.95,209,25514,NaN
2020-10-01T13:45:00+02:00,209.05,209.5,208.9,209.5,16659,26419.2
2020-10-01T14:00:00+02:00,209.4,209.4,209.1,209.2,17173,23822.35
2020-10-01T14:15:00+02:00,209.2,209.4,209,209.4,12157,22823.8
2020-10-01T14:30:00+02:00,209.35,209.5,209.1,209.3,31498,22883.2
2020-10-01T14:45:00+02:00,209.2,209.5,209,209.5,40823,22351.55
2020-10-01T15:00:00+02:00,209.5,209.6,208.9,209.2,32925,22211.5
2020-10-01T15:15:00+02:00,209.3,209.65,209.2,209.65,18352,20819.75
2020-10-01T15:30:00+02:00,209.6,209.8,209.2,209.2,59918,22139.8
2020-10-01T15:45:00+02:00,209.2,209.6,208.8,208.8,28050,22637
2020-10-01T16:00:00+02:00,208.8,209.1,208.4,209.1,42650,23583.15
2020-10-01T16:15:00+02:00,209.1,209.4,208.9,209,36755,24843.5
2020-10-01T16:30:00+02:00,208.95,210.4,208.95,210.3,35687,25693.9
2020-10-01T16:45:00+02:00,210.4,210.4,209.6,209.8,25051,26221.45
2020-10-01T17:00:00+02:00,209.9,210,209.5,209.7,20499,26559.15
2020-10-01T17:15:00+02:00,209.75,210,209.2,209.2,466256,48978.45
2020-10-02T09:00:00+02:00,209.8,210.1,206.8,208,143560,54967.55
2020-10-02T09:15:00+02:00,208,208.6,207.3,208.3,106924,59410.2
2020-10-02T09:30:00+02:00,208.1,208.9,208.1,208.7,55346,61446.1
2020-10-02T09:45:00+02:00,208.6,208.7,207.8,208.4,59904,63785.05
2020-10-02T10:00:00+02:00,208.5,209.5,208.5,209,39659,64492.3
2020-10-02T10:15:00+02:00,209,209.2,208.5,208.5,14386,64378.65
2020-10-02T10:30:00+02:00,208.5,209.3,208.3,209.2,23127,64676.35
2020-10-02T10:45:00+02:00,209.1,209.8,209.1,209.6,37048,65920.9
2020-10-02T11:00:00+02:00,209.5,209.8,209,209.1,48006,66746.3
2020-10-02T11:15:00+02:00,209,209.5,208.7,208.7,31775,66293.9
2020-10-02T11:30:00+02:00,208.8,208.8,207.6,207.65,44440,66869.65
2020-10-02T11:45:00+02:00,207.6,208.3,207.6,208.3,41240,68014.05
2020-10-02T12:00:00+02:00,208.2,209,208,208.9,33358,66686.05
2020-10-02T12:15:00+02:00,208.9,209.3,208.9,209.1,22924,66429.75
2020-10-02T12:30:00+02:00,209.15,209.7,209.1,209.7,7194,64656.95
2020-10-02T12:45:00+02:00,209.5,209.8,209.2,209.8,19547,63796.55
2020-10-02T13:00:00+02:00,209.7,209.85,209.4,209.6,7774,62400.9
2020-10-02T13:15:00+02:00,209.6,209.6,209.1,209.3,17949,62045.8
2020-10-02T13:30:00+02:00,209.4,209.6,209.1,209.1,16190,61830.35
2020-10-02T13:45:00+02:00,209.2,209.3,208.9,209.2,35339,40284.5
2020-10-02T14:00:00+02:00,209.3,210.1,209.3,209.6,40610,35137
2020-10-02T14:15:00+02:00,209.7,210.1,209.6,209.8,44268,32004.2
2020-10-02T14:30:00+02:00,209.7,209.9,209.3,209.3,39776,31225.7
2020-10-02T14:45:00+02:00,209.3,209.3,208.3,208.4,31228,29791.9
2020-10-02T15:00:00+02:00,208.5,208.5,207.7,208.3,103188,32968.35
2020-10-02T15:15:00+02:00,208.3,209.6,208.2,209.6,65504,35524.25
2020-10-02T15:30:00+02:00,209.5,211.4,209.5,211.3,100072,39371.5
2020-10-02T15:45:00+02:00,211.2,211.55,211,211.1,46274,39832.8
2020-10-02T16:00:00+02:00,211,211.85,211,211.6,50684,39966.7
2020-10-02T16:15:00+02:00,211.6,212.05,211.4,211.6,48990,40827.45
2020-10-02T16:30:00+02:00,211.7,211.7,210.7,210.8,39433,40577.1
2020-10-02T16:45:00+02:00,210.9,211.7,210.9,211.7,38255,40427.85
2020-10-02T17:00:00+02:00,211.8,212.3,211.7,212.2,53550,41437.45
2020-10-02T17:15:00+02:00,212.2,212.5,212.1,212.5,692659,74924.2
2020-10-05T09:00:00+02:00,214.9,216.1,214.2,215.4,116501,80389.55
2020-10-05T09:15:00+02:00,215.4,215.9,215.3,215.8,69721,82898.25
2020-10-05T09:30:00+02:00,215.8,216.2,214.7,215,83806,86699.85
2020-10-05T09:45:00+02:00,215,215.5,214.5,214.5,29605,87282.65
2020-10-05T10:00:00+02:00,214.65,215,214.5,214.7,51667,89056.5
2020-10-05T10:15:00+02:00,214.7,214.7,213.8,214.2,45976,89588.35
2020-10-05T10:30:00+02:00,214.1,214.6,213.8,214.5,26148,88865.25
2020-10-05T10:45:00+02:00,214.4,214.4,213.6,213.7,21283,87716
2020-10-05T11:00:00+02:00,213.7,213.7,213,213.2,27038,87079.1
2020-10-05T11:15:00+02:00,213.25,213.6,213.1,213.4,25492,86792.3
2020-10-05T11:30:00+02:00,213.5,213.5,213.1,213.2,18045,82535.15
2020-10-05T11:45:00+02:00,213.2,213.4,213.2,213.4,11758,79847.85
