time,open,high,low,close,Volume,Volume MA
2020-10-01T09:00:00+02:00,598.4,603.2,597.8,598.8,49354,NaN
2020-10-01T09:15:00+02:00,599.4,606.4,599.2,599.2,33090,NaN
2020-10-01T09:30:00+02:00,599,603,598.6,601,13707,NaN
2020-10-01T09:45:00+02:00,600.8,602,599.4,600.8,11052,NaN
2020-10-01T10:00:00+02:00,600.8,602,598.6,601,14832,NaN
2020-10-01T10:15:00+02:00,601,601,598.8,599.6,6951,NaN
2020-10-01T10:30:00+02:00,599.8,601.4,598.2,599.8,19280,NaN
2020-10-01T10:45:00+02:00,599.4,601.6,599.4,600.4,5447,NaN
2020-10-01T11:00:00+02:00,600.8,605,600.8,600.8,21263,NaN
2020-10-01T11:15:00+02:00,601,602.2,600.6,601.6,7405,NaN
2020-10-01T11:30:00+02:00,601.8,607.2,601.2,607.2,31431,NaN
2020-10-01T11:45:00+02:00,607.4,611,605,609.4,22287,NaN
2020-10-01T12:00:00+02:00,609.6,611.4,607.2,607.2,11130,NaN
2020-10-01T12:15:00+02:00,606.8,608.2,606.6,607.8,8555,NaN
2020-10-01T12:30:00+02:00,608,611.2,608,609.6,10743,NaN
2020-10-01T12:45:00+02:00,609.8,610.6,608.4,609.2,12985,NaN
2020-10-01T13:00:00+02:00,609,609.2,607.2,608.2,11114,NaN
2020-10-01T13:15:00+02:00,608,609.6,607,608.2,9629,NaN
2020-10-01T13:30:00+02:00,608.2,608.6,607.2,607.4,5750,NaN
2020-10-01T13:45:00+02:00,607.4,607.8,606.4,607.2,9090,15754.75
2020-10-01T14:00:00+02:00,607,609.2,606.6,609.2,8597,13716.9
2020-10-01T14:15:00+02:00,609.2,611,608.8,611,14196,12772.2
2020-10-01T14:30:00+02:00,610.8,613.6,610.6,612.8,15881,12880.9
2020-10-01T14:45:00+02:00,612.8,614,611.8,613.8,10660,12861.3
2020-10-01T15:00:00+02:00,614,616.4,613.4,615.6,34174,13828.4
2020-10-01T15:15:00+02:00,615.2,616,613.6,614.8,11324,14047.05
2020-10-01T15:30:00+02:00,615.2,615.8,611.6,611.6,14760,13821.05
2020-10-01T15:45:00+02:00,612,614,611.4,612,12584,14177.9
2020-10-01T16:00:00+02:00,612.2,615.6,612,613.4,12551,13742.3
2020-10-01T16:15:00+02:00,613.8,616.8,612.8,616.8,19146,14329.35
2020-10-01T16:30:00+02:00,616.8,619.6,616.8,618.2,28081,14161.85
2020-10-01T16:45:00+02:00,617.8,618.6,615.8,617.8,18116,13953.3
2020-10-01T17:00:00+02:00,618,619.2,616.2,619.2,28723,14832.95
2020-10-01T17:15:00+02:00,618.8,619,617.6,618.2,97796,19295
2020-10-02T09:00:00+02:00,619.8,633.6,614.6,631.2,125892,25052.45
2020-10-02T09:15:00+02:00,632,640.6,630,638,69684,27887.4
2020-10-02T09:30:00+02:00,638,641.8,636.4,640.6,66329,30648.15
2020-10-02T09:45:00+02:00,640.4,640.4,633.4,637.4,39774,32155.4
