time,open,high,low,close,Volume,Volume MA
2020-10-01T09:00:00+02:00,68.92,68.95,68.23,68.58,350004,NaN
2020-10-01T09:15:00+02:00,68.59,68.84,68.54,68.75,125493,NaN
2020-10-01T09:30:00+02:00,68.71,68.71,68.4,68.43,277615,NaN
2020-10-01T09:45:00+02:00,68.41,68.53,68.27,68.53,226174,NaN
2020-10-01T10:00:00+02:00,68.53,68.6,68.42,68.57,153550,NaN
2020-10-01T10:15:00+02:00,68.59,68.69,68.5,68.52,47710,NaN
2020-10-01T10:30:00+02:00,68.53,68.57,68.37,68.41,176220,NaN
2020-10-01T10:45:00+02:00,68.41,68.47,68.35,68.41,56306,NaN
2020-10-01T11:00:00+02:00,68.4,68.605,68.37,68.58,185535,NaN
2020-10-01T11:15:00+02:00,68.58,68.69,68.54,68.69,136046,NaN
2020-10-01T11:30:00+02:00,68.69,68.71,68.53,68.57,130336,NaN
2020-10-01T11:45:00+02:00,68.57,68.68,68.5,68.58,166400,NaN
2020-10-01T12:00:00+02:00,68.59,68.59,68.43,68.53,140019,NaN
2020-10-01T12:15:00+02:00,68.54,68.69,68.53,68.68,197901,NaN
2020-10-01T12:30:00+02:00,68.67,68.69,68.56,68.59,86831,NaN
2020-10-01T12:45:00+02:00,68.61,68.64,68.51,68.62,86325,NaN
2020-10-01T13:00:00+02:00,68.64,68.85,68.64,68.85,100686,NaN
2020-10-01T13:15:00+02:00,68.84,68.92,68.77,68.92,136548,NaN
2020-10-01T13:30:00+02:00,68.93,69.09,68.91,69.05,235428,NaN
2020-10-01T13:45:00+02:00,69.06,69.08,69,69.07,139917,157752.2
2020-10-01T14:00:00+02:00,69.08,69.11,68.95,69,141020,147303
2020-10-01T14:15:00+02:00,69.02,69.03,68.92,68.96,117703,146913.5
2020-10-01T14:30:00+02:00,68.99,69.09,68.9,69.06,188326,142449.05
2020-10-01T14:45:00+02:00,69.05,69.08,68.88,68.94,166700,139475.35
2020-10-01T15:00:00+02:00,68.91,69,68.84,68.97,250541,144324.9
2020-10-01T15:15:00+02:00,68.96,69.14,68.95,69.14,171129,150495.85
2020-10-01T15:30:00+02:00,69.13,69.21,69.03,69.2,259949,154682.3
