time,open,high,low,close,Volume,Volume MA
2020-10-01T09:00:00+02:00,142.14,142.2,141,141.68,170411,NaN
2020-10-01T09:15:00+02:00,141.77,142.12,141.58,141.96,63269,NaN
2020-10-01T09:30:00+02:00,141.96,142.08,141.34,141.78,110894,NaN
2020-10-01T09:45:00+02:00,141.78,142.12,141.66,142.06,71187,NaN
2020-10-01T10:00:00+02:00,142.02,142.72,141.96,142.7,139314,NaN
2020-10-01T10:15:00+02:00,142.78,142.86,142.5,142.56,87740,NaN
2020-10-01T10:30:00+02:00,142.52,142.64,142.04,142.2,104779,NaN
2020-10-01T10:45:00+02:00,142.15,142.3,142,142.02,76766,NaN
2020-10-01T11:00:00+02:00,142,142.4,141.96,142.38,45894,NaN
2020-10-01T11:15:00+02:00,142.38,142.64,142.28,142.5,23264,NaN
2020-10-01T11:30:00+02:00,142.52,142.52,142.2,142.28,17927,NaN
2020-10-01T11:45:00+02:00,142.26,142.44,142.1,142.1,20739,NaN
2020-10-01T12:00:00+02:00,142.1,142.26,142.02,142.04,23520,NaN
2020-10-01T12:15:00+02:00,142.06,142.36,142.04,142.34,58124,NaN
2020-10-01T12:30:00+02:00,142.32,142.34,142,142.14,99150,NaN
2020-10-01T12:45:00+02:00,142.14,142.18,142,142.06,46734,NaN
2020-10-01T13:00:00+02:00,142.08,142.34,142.02,142.32,19901,NaN
2020-10-01T13:15:00+02:00,142.34,142.6,142.24,142.52,87075,NaN
2020-10-01T13:30:00+02:00,142.52,142.74,142.48,142.74,34506,NaN
2020-10-01T13:45:00+02:00,142.7,142.94,142.7,142.94,29329,66526.15
2020-10-01T14:00:00+02:00,142.96,143.04,142.54,142.56,50461,60528.65
2020-10-01T14:15:00+02:00,142.56,142.68,142.42,142.58,39984,59364.4
2020-10-01T14:30:00+02:00,142.64,142.68,142.54,142.62,28042,55221.8
2020-10-01T14:45:00+02:00,142.62,142.72,142.6,142.62,99635,56644.2
2020-10-01T15:00:00+02:00,142.6,142.86,142.6,142.84,93397,54348.35
2020-10-01T15:15:00+02:00,142.84,143.04,142.8,143,20547,50988.7
2020-10-01T15:30:00+02:00,143.04,143.26,142.84,143,66623,49080.9
2020-10-01T15:45:00+02:00,143,143,142.68,142.76,35345,47009.85
2020-10-01T16:00:00+02:00,142.72,142.82,142.14,142.7,82593,48844.8
2020-10-01T16:15:00+02:00,142.7,142.9,142.68,142.82,62252,50794.2
2020-10-01T16:30:00+02:00,142.8,143.2,142.8,143.02,39376,51866.65
2020-10-01T16:45:00+02:00,143.06,143.08,142.8,142.92,35540,52606.7
2020-10-01T17:00:00+02:00,142.96,143.14,142.8,143.08,100423,56451.85
2020-10-01T17:15:00+02:00,143.12,143.24,142.86,142.86,504244,78757.85
