time,open,high,low,close,Volume,Volume MA
2020-10-01T09:00:00+02:00,98.28,98.5,97.7,97.74,243378,NaN
2020-10-01T09:15:00+02:00,97.74,98.06,97.68,97.76,128886,NaN
2020-10-01T09:30:00+02:00,97.72,97.72,97.38,97.38,99022,NaN
2020-10-01T09:45:00+02:00,97.34,97.44,97.24,97.4,116096,NaN
2020-10-01T10:00:00+02:00,97.42,97.5,97.18,97.3,114336,NaN
2020-10-01T10:15:00+02:00,97.28,97.62,97.28,97.52,132233,NaN
2020-10-01T10:30:00+02:00,97.52,97.52,97.14,97.14,147628,NaN
2020-10-01T10:45:00+02:00,97.12,97.36,97.1,97.16,118656,NaN
2020-10-01T11:00:00+02:00,97.16,97.34,97.1,97.24,71046,NaN
2020-10-01T11:15:00+02:00,97.24,97.46,97.24,97.44,56307,NaN
2020-10-01T11:30:00+02:00,97.42,97.5,97.32,97.43,160822,NaN
2020-10-01T11:45:00+02:00,97.44,97.44,97.2,97.2,110855,NaN
2020-10-01T12:00:00+02:00,97.18,97.22,97.08,97.08,125958,NaN
2020-10-01T12:15:00+02:00,97.08,97.08,96.82,96.9,123723,NaN
2020-10-01T12:30:00+02:00,96.88,96.96,96.82,96.88,50025,NaN
2020-10-01T12:45:00+02:00,96.88,96.92,96.67,96.67,80955,NaN
2020-10-01T13:00:00+02:00,96.66,96.7,96.54,96.64,87538,NaN
2020-10-01T13:15:00+02:00,96.71,96.72,96.45,96.48,134444,NaN
2020-10-01T13:30:00+02:00,96.5,96.6,96.34,96.44,108868,NaN
2020-10-01T13:45:00+02:00,96.44,96.5,96.36,96.36,115726,116325.1
2020-10-01T14:00:00+02:00,96.38,96.4,96.34,96.36,61794,107245.9
2020-10-01T14:15:00+02:00,96.4,96.54,96.4,96.54,110303,106316.75
2020-10-01T14:30:00+02:00,96.56,96.6,96.44,96.44,77697,105250.5
2020-10-01T14:45:00+02:00,96.42,96.48,96.34,96.48,103005,104595.95
2020-10-01T15:00:00+02:00,96.48,96.6,96.44,96.56,133281,105543.2
2020-10-01T15:15:00+02:00,96.52,96.52,96.34,96.46,67399,102301.5
2020-10-01T15:30:00+02:00,96.48,96.64,96.08,96.1,284381,109139.15
2020-10-01T15:45:00+02:00,96.12,96.2,95.96,96.02,233777,114895.2
2020-10-01T16:00:00+02:00,95.96,96.2,95.78,96,238792,123282.5
2020-10-01T16:15:00+02:00,96,96.08,95.8,95.82,152315,128082.9
2020-10-01T16:30:00+02:00,95.82,96.18,95.82,96,188560,129469.8
2020-10-01T16:45:00+02:00,96.02,96.04,95.68,95.76,166883,132271.2
2020-10-01T17:00:00+02:00,95.76,96.06,95.62,96.04,193327,135639.65
2020-10-01T17:15:00+02:00,96.06,96.28,96,96.14,1362831,197595.05
2020-10-02T09:00:00+02:00,95.5,95.5,94.7,94.82,486432,219415.4
2020-10-02T09:15:00+02:00,94.84,95.12,94.8,94.82,295505,230142.9
2020-10-02T09:30:00+02:00,94.8,94.82,94.04,94.12,404884,246010.2
2020-10-02T09:45:00+02:00,94.12,94.24,93.78,94.24,432430,260909.5
2020-10-02T10:00:00+02:00,94.26,94.6,94.26,94.28,270350,268983.6
2020-10-02T10:15:00+02:00,94.26,94.26,93.88,93.92,174546,271924.6
2020-10-02T10:30:00+02:00,93.92,93.96,93.84,93.87,134876,275578.7
2020-10-02T10:45:00+02:00,93.88,94.16,93.88,93.96,120291,276078.1
2020-10-02T11:00:00+02:00,93.96,94.1,93.96,94.02,126110,278498.75
2020-10-02T11:15:00+02:00,94.02,94.18,94.02,94.14,126591,279678.05
2020-10-02T11:30:00+02:00,94.14,94.28,94.06,94.06,156694,280848.7
2020-10-02T11:45:00+02:00,94.04,94.18,94.04,94.08,89794,281968.45
2020-10-02T12:00:00+02:00,94.1,94.22,94,94.18,64458,270972.3
2020-10-02T12:15:00+02:00,94.2,94.22,94.04,94.06,90903,263828.6
2020-10-02T12:30:00+02:00,94.06,94.3,94.06,94.28,49541,254366.05
2020-10-02T12:45:00+02:00,94.28,94.28,94.1,94.28,38179,248659.25
2020-10-02T13:00:00+02:00,94.28,94.38,94.26,94.34,51202,241791.35
2020-10-02T13:15:00+02:00,94.36,94.38,94.16,94.2,49922,235943.3
2020-10-02T13:30:00+02:00,94.22,94.24,94.1,94.12,34006,227977.25
2020-10-02T13:45:00+02:00,94.12,94.18,94.06,94.1,89083,164289.85
2020-10-02T14:00:00+02:00,94.1,94.28,94.1,94.24,46751,142305.8
2020-10-02T14:15:00+02:00,94.24,94.34,94.22,94.26,71915,131126.3
2020-10-02T14:30:00+02:00,94.24,94.34,94.2,94.26,176231,119693.65
2020-10-02T14:45:00+02:00,94.28,94.32,94.24,94.28,142364,105190.35
2020-10-02T15:00:00+02:00,94.26,94.26,94.02,94.08,232605,103303.1
2020-10-02T15:15:00+02:00,94.06,94.16,94.06,94.16,128841,101017.85
2020-10-02T15:30:00+02:00,94.12,94.6,94.1,94.6,172151,102881.6
2020-10-02T15:45:00+02:00,94.58,94.96,94.58,94.96,302393,111986.7
2020-10-02T16:00:00+02:00,94.92,95.02,94.74,94.76,181702,114766.3
2020-10-02T16:15:00+02:00,94.74,94.92,94.68,94.84,103163,113594.9
2020-10-02T16:30:00+02:00,94.82,94.86,94.56,94.6,57700,108645.2
2020-10-02T16:45:00+02:00,94.6,94.76,94.58,94.74,75105,107910.75
2020-10-02T17:00:00+02:00,94.76,94.96,94.66,94.92,209583,115167
2020-10-02T17:15:00+02:00,94.94,95.02,94.8,94.98,1044773,162860.5
2020-10-05T09:00:00+02:00,95.22,95.64,95.1,95.2,365847,178675.8
2020-10-05T09:15:00+02:00,95.18,95.58,95.18,95.58,189371,186235.4
2020-10-05T09:30:00+02:00,95.58,95.98,95.56,95.7,167490,192049.8
2020-10-05T09:45:00+02:00,95.7,95.92,95.66,95.68,139242,196515.8
2020-10-05T10:00:00+02:00,95.72,95.82,95.62,95.7,75254,198578.2
2020-10-05T10:15:00+02:00,95.7,95.7,95.46,95.54,78981,198073.1
2020-10-05T10:30:00+02:00,95.52,95.74,95.48,95.74,106941,201082.6
2020-10-05T10:45:00+02:00,95.72,95.74,95.54,95.58,52988,200136.25
2020-10-05T11:00:00+02:00,95.54,95.56,95.38,95.38,84076,195528.5
2020-10-05T11:15:00+02:00,95.37,95.5,95.34,95.42,58672,191343.9
2020-10-05T11:30:00+02:00,95.42,95.62,95.38,95.62,80807,183754
2020-10-05T11:45:00+02:00,95.62,95.72,95.6,95.62,60807,180352.3
2020-10-05T12:00:00+02:00,95.62,95.62,95.48,95.5,42281,173858.8
2020-10-05T12:15:00+02:00,95.52,95.72,95.52,95.64,56593,161568.8
2020-10-05T12:30:00+02:00,95.66,95.76,95.62,95.68,67533,155860.35
2020-10-05T12:45:00+02:00,95.68,95.74,95.62,95.74,28923,152148.35
2020-10-05T13:00:00+02:00,95.74,95.8,95.66,95.7,33490,150937.85
2020-10-05T13:15:00+02:00,95.72,95.78,95.68,95.68,21299,148247.55
2020-10-05T13:30:00+02:00,95.68,95.72,95.64,95.68,25589,139047.85
2020-10-05T13:45:00+02:00,95.68,95.76,95.68,95.74,29670,88292.7
2020-10-05T14:00:00+02:00,95.72,95.98,95.7,95.94,70925,73546.6
2020-10-05T14:15:00+02:00,95.92,96.08,95.82,96.04,92872,68721.65
2020-10-05T14:30:00+02:00,96.04,96.14,96.02,96.1,77176,64205.95
2020-10-05T14:45:00+02:00,96.08,96.17,96.08,96.1,76331,61060.4
2020-10-05T15:00:00+02:00,96.12,96.26,96.12,96.24,72099,60902.65
2020-10-05T15:15:00+02:00,96.26,96.3,95.9,95.94,96654,61786.3
2020-10-05T15:30:00+02:00,95.96,96.08,95.8,95.86,160855,64482
2020-10-05T15:45:00+02:00,95.86,95.94,95.64,95.92,216696,72667.4
2020-10-05T16:00:00+02:00,95.9,96.12,95.86,96.04,115224,74224.8
2020-10-05T16:15:00+02:00,96.04,96.08,95.8,95.8,105442,76563.3
2020-10-05T16:30:00+02:00,95.82,96.02,95.82,96,78256,76435.75
2020-10-05T16:45:00+02:00,95.96,96.04,95.82,95.9,110580,78924.4
2020-10-05T17:00:00+02:00,95.88,95.94,95.72,95.76,144662,84043.45
2020-10-05T17:15:00+02:00,95.74,95.9,95.56,95.56,1469752,154701.4
2020-10-06T09:00:00+02:00,96.18,96.4,95.98,96.16,311107,166880.1
2020-10-06T09:15:00+02:00,96.12,96.12,95.88,96.04,166719,173769.9
2020-10-06T09:30:00+02:00,96.02,96.08,95.84,96.04,135689,178879.85
2020-10-06T09:45:00+02:00,96.04,96.22,96.02,96.2,160313,185830.55
2020-10-06T10:00:00+02:00,96.18,96.18,95.58,95.58,141510,191626.6
2020-10-06T10:15:00+02:00,95.56,95.92,95.55,95.84,157334,198009.8
2020-10-06T10:30:00+02:00,95.86,95.86,95.64,95.8,101131,199520.1
2020-10-06T10:45:00+02:00,95.82,95.9,95.82,95.86,78317,198792.35
2020-10-06T11:00:00+02:00,95.86,96,95.82,95.98,241179,206992.5
2020-10-06T11:15:00+02:00,96,96.04,95.84,95.98,62049,206278.4
2020-10-06T11:30:00+02:00,95.98,96,95.8,95.8,104324,207889.65
2020-10-06T11:45:00+02:00,95.8,95.88,95.8,95.82,136357,209874.8
2020-10-06T12:00:00+02:00,95.82,95.98,95.78,95.98,34799,203572
2020-10-06T12:15:00+02:00,96,96.14,95.96,96.1,68737,196174.05
2020-10-06T12:30:00+02:00,96.12,96.24,96.09,96.24,82038,194514.75
2020-10-06T12:45:00+02:00,96.24,96.32,96.2,96.32,102829,194384.1
2020-10-06T13:00:00+02:00,96.34,96.44,96.3,96.4,48342,192888.4
2020-10-06T13:15:00+02:00,96.42,96.54,96.4,96.5,231270,198922.9
2020-10-06T13:30:00+02:00,96.5,96.68,96.48,96.64,100400,196709.8
2020-10-06T13:45:00+02:00,96.66,96.68,96.6,96.66,43738,125409.1
2020-10-06T14:00:00+02:00,96.68,96.98,96.66,96.96,198101,119758.8
2020-10-06T14:15:00+02:00,96.96,97.08,96.78,96.78,183307,120588.2
2020-10-06T14:30:00+02:00,96.8,97,96.8,96.88,134520,120529.75
2020-10-06T14:45:00+02:00,96.88,97.04,96.88,97.02,84704,116749.3
2020-10-06T15:00:00+02:00,97,97.06,96.78,96.78,84663,113906.95
2020-10-06T15:15:00+02:00,96.78,96.88,96.66,96.72,55569,108818.7
2020-10-06T15:30:00+02:00,96.74,96.88,96.52,96.62,226300,115077.15
2020-10-06T15:45:00+02:00,96.6,96.66,96.24,96.66,338967,128109.65
2020-10-06T16:00:00+02:00,96.66,96.74,96.48,96.54,124609,122281.15
2020-10-06T16:15:00+02:00,96.54,96.64,96.5,96.62,104453,124401.35
2020-10-06T16:30:00+02:00,96.62,96.66,96.42,96.48,120625,125216.4
2020-10-06T16:45:00+02:00,96.5,96.58,96.42,96.42,159719,126384.5
2020-10-06T17:00:00+02:00,96.42,96.42,96.24,96.28,106186,129953.85
2020-10-06T17:15:00+02:00,96.3,96.3,95.98,95.98,2493403,251187.15
2020-10-07T09:00:00+02:00,95.9,96.36,95.78,96.2,242334,259201.95
2020-10-07T09:15:00+02:00,96.2,96.26,96.02,96.2,68351,257478.05
2020-10-07T09:30:00+02:00,96.18,96.26,96,96.18,107512,260436.55
2020-10-07T09:45:00+02:00,96.16,96.18,95.9,96.08,68306,252288.35
2020-10-07T10:00:00+02:00,96.08,96.08,95.72,95.74,94739,252005.3
2020-10-07T10:15:00+02:00,95.7,95.74,95.42,95.46,174977,258567.25
2020-10-07T10:30:00+02:00,95.46,95.64,95.44,95.52,72809,252302.65
2020-10-07T10:45:00+02:00,95.51,95.6,95.4,95.54,105851,248429.85
2020-10-07T11:00:00+02:00,95.58,95.58,95.42,95.42,70503,245229
2020-10-07T11:15:00+02:00,95.44,95.54,95.4,95.48,59761,243981.85
2020-10-07T11:30:00+02:00,95.46,95.5,95.42,95.46,44879,241992.65
2020-10-07T11:45:00+02:00,95.46,95.46,95.26,95.28,54342,241931.3
2020-10-07T12:00:00+02:00,95.28,95.28,95.2,95.28,39733,232602.95
2020-10-07T12:15:00+02:00,95.27,95.36,95.26,95.32,27711,217040.15
2020-10-07T12:30:00+02:00,95.32,95.4,95.2,95.22,80067,214813.05
2020-10-07T12:45:00+02:00,95.22,95.46,95.22,95.46,66751,212927.95
2020-10-07T13:00:00+02:00,95.46,95.46,95.32,95.36,64608,210127.1
2020-10-07T13:15:00+02:00,95.34,95.34,95.02,95.06,107034,207492.85
2020-10-07T13:30:00+02:00,95.04,95.18,95.04,95.14,69742,205670.65
2020-10-07T13:45:00+02:00,95.1,95.14,95.08,95.14,58154,83908.2
2020-10-07T14:00:00+02:00,95.12,95.28,95.12,95.26,50756,74329.3
2020-10-07T14:15:00+02:00,95.26,95.26,95.18,95.2,77402,74781.85
2020-10-07T14:30:00+02:00,95.22,95.26,95.18,95.24,67916,72802.05
2020-10-07T14:45:00+02:00,95.24,95.3,95.18,95.18,53236,72048.55
2020-10-07T15:00:00+02:00,95.18,95.22,95.12,95.2,188232,76723.2
2020-10-07T15:15:00+02:00,95.16,95.18,95.02,95.06,211739,78561.3
2020-10-07T15:30:00+02:00,95.06,95.3,94.84,94.96,220812,85961.45
2020-10-07T15:45:00+02:00,94.98,95.08,94.88,94.96,158477,88592.75
2020-10-07T16:00:00+02:00,94.94,94.96,94.7,94.78,324144,101274.8
2020-10-07T16:15:00+02:00,94.78,95.02,94.76,94.86,233441,109958.8
2020-10-07T16:30:00+02:00,94.84,95,94.8,94.88,183259,116877.8
2020-10-07T16:45:00+02:00,94.9,95.02,94.86,94.94,118803,120100.85
2020-10-07T17:00:00+02:00,94.94,95.08,94.84,94.98,177772,127002.8
2020-10-07T17:15:00+02:00,94.98,95.18,94.94,95.1,1416243,196429.4
2020-10-08T09:00:00+02:00,95.34,95.88,95.28,95.82,325522,208702.15
2020-10-08T09:15:00+02:00,95.82,95.92,95.7,95.9,206439,215686.55
2020-10-08T09:30:00+02:00,95.9,96.04,95.84,96.02,233654,224138.85
2020-10-08T09:45:00+02:00,96,96.2,95.98,96.08,149542,226264.25
2020-10-08T10:00:00+02:00,96.1,96.14,95.86,95.86,152885,230421.4
2020-10-08T10:15:00+02:00,95.84,95.94,95.62,95.62,144309,234729.15
2020-10-08T10:30:00+02:00,95.64,95.8,95.6,95.78,60871,235234.9
2020-10-08T10:45:00+02:00,95.77,95.88,95.7,95.82,116552,237192.4
2020-10-08T11:00:00+02:00,95.82,95.96,95.78,95.92,58756,236734.4
2020-10-08T11:15:00+02:00,95.92,96,95.9,95.96,94655,238805.35
2020-10-08T11:30:00+02:00,95.98,96.1,95.96,96,74587,233123.1
2020-10-08T11:45:00+02:00,96,96.04,95.96,96.02,60489,225560.6
2020-10-08T12:00:00+02:00,96.02,96.12,95.98,95.98,85760,218808
2020-10-08T12:15:00+02:00,95.98,96.08,95.94,96.08,63440,214056.15
2020-10-08T12:30:00+02:00,96.08,96.19,96.06,96.16,124890,204093.45
2020-10-08T12:45:00+02:00,96.16,96.23,96.06,96.1,82781,196560.45
2020-10-08T13:00:00+02:00,96.1,96.13,96.08,96.09,28969,188845.95
2020-10-08T13:15:00+02:00,96.09,96.11,96.06,96.08,44487,185130.15
2020-10-08T13:30:00+02:00,96.08,96.08,95.76,95.76,76481,180065.6
2020-10-08T13:45:00+02:00,95.78,95.8,95.56,95.56,62144,112360.65
2020-10-08T14:00:00+02:00,95.56,95.7,95.52,95.62,84191,100294.1
2020-10-08T14:15:00+02:00,95.66,95.88,95.64,95.88,61115,93027.9
2020-10-08T14:30:00+02:00,95.86,95.88,95.78,95.84,41718,83431.1
2020-10-08T14:45:00+02:00,95.83,95.86,95.76,95.78,70708,79489.4
2020-10-08T15:00:00+02:00,95.8,95.96,95.78,95.96,25965,73143.4
2020-10-08T15:15:00+02:00,95.94,96,95.84,95.98,54976,68676.75
2020-10-08T15:30:00+02:00,95.98,96.02,95.78,95.94,173985,74332.45
2020-10-08T15:45:00+02:00,95.96,96.1,95.92,96.04,207968,78903.25
