time,open,high,low,close,Volume,Volume MA
2020-10-01T09:00:00+02:00,80.06,80.45,79.86,80.04,153710,NaN
2020-10-01T09:15:00+02:00,80.08,80.26,79.96,80.06,54726,NaN
2020-10-01T09:30:00+02:00,80.1,80.1,79.66,79.68,84605,NaN
2020-10-01T09:45:00+02:00,79.66,79.82,79.52,79.82,78445,NaN
2020-10-01T10:00:00+02:00,79.84,79.96,79.68,79.92,38542,NaN
2020-10-01T10:15:00+02:00,79.94,80.06,79.84,79.88,47206,NaN
2020-10-01T10:30:00+02:00,79.88,80,79.66,79.7,79445,NaN
2020-10-01T10:45:00+02:00,79.66,79.74,79.56,79.62,34317,NaN
2020-10-01T11:00:00+02:00,79.6,79.84,79.56,79.82,32271,NaN
2020-10-01T11:15:00+02:00,79.8,80.04,79.78,79.96,64439,NaN
2020-10-01T11:30:00+02:00,79.94,79.96,79.76,79.84,41833,NaN
2020-10-01T11:45:00+02:00,79.84,80,79.68,79.72,73926,NaN
2020-10-01T12:00:00+02:00,79.68,79.82,79.66,79.68,26051,NaN
2020-10-01T12:15:00+02:00,79.68,79.84,79.66,79.8,31832,NaN
2020-10-01T12:30:00+02:00,79.8,79.8,79.56,79.58,30114,NaN
2020-10-01T12:45:00+02:00,79.62,79.7,79.58,79.7,25218,NaN
2020-10-01T13:00:00+02:00,79.66,79.84,79.66,79.84,20293,NaN
2020-10-01T13:15:00+02:00,79.84,79.94,79.72,79.92,19960,NaN
2020-10-01T13:30:00+02:00,79.92,80.06,79.9,80.06,47144,NaN
2020-10-01T13:45:00+02:00,80.06,80.22,80.04,80.22,67939,52600.8
2020-10-01T14:00:00+02:00,80.2,80.22,80.04,80.12,38345,46832.55
2020-10-01T14:15:00+02:00,80.14,80.14,80.02,80.08,39141,46053.3
2020-10-01T14:30:00+02:00,80.1,80.22,80.08,80.18,55639,44605
2020-10-01T14:45:00+02:00,80.16,80.16,79.94,79.96,89790,45172.25
2020-10-01T15:00:00+02:00,79.94,80.08,79.82,79.82,81271,47308.7
2020-10-01T15:15:00+02:00,79.8,79.96,79.8,79.92,45401,47218.45
2020-10-01T15:30:00+02:00,79.9,80.18,79.84,80.04,106981,48595.25
2020-10-01T15:45:00+02:00,80.04,80.1,79.88,79.92,60548,49906.8
