time,open,high,low,close,Volume,Volume MA
2020-10-01T09:00:00+02:00,73,73.8,72.1,72.4,102110,NaN
2020-10-01T09:15:00+02:00,72.5,73.1,72.5,72.6,68960,NaN
2020-10-01T09:30:00+02:00,72.5,73.3,72.3,72.9,88060,NaN
2020-10-01T09:45:00+02:00,72.8,73,72.7,72.9,27380,NaN
2020-10-01T10:00:00+02:00,72.8,73,72.7,72.9,27040,NaN
2020-10-01T10:15:00+02:00,72.9,73,72.6,72.7,33980,NaN
2020-10-01T10:30:00+02:00,72.6,72.7,72.2,72.5,61960,NaN
2020-10-01T10:45:00+02:00,72.4,72.8,72.4,72.6,24190,NaN
2020-10-01T11:00:00+02:00,72.6,72.9,72.6,72.7,27140,NaN
2020-10-01T11:15:00+02:00,72.8,73,72.7,72.8,47920,NaN
2020-10-01T11:30:00+02:00,72.7,72.9,72.7,72.7,37170,NaN
2020-10-01T11:45:00+02:00,72.9,73.1,72.6,72.9,131720,NaN
2020-10-01T12:00:00+02:00,72.8,72.8,72.6,72.7,17140,NaN
2020-10-01T12:15:00+02:00,72.6,72.9,72.6,72.8,24520,NaN
2020-10-01T12:30:00+02:00,72.9,73,72.6,72.9,53800,NaN
2020-10-01T12:45:00+02:00,73,73,72.8,72.8,16680,NaN
2020-10-01T13:00:00+02:00,72.8,72.9,72.8,72.9,22630,NaN
2020-10-01T13:15:00+02:00,72.8,72.8,72.5,72.7,49760,NaN
2020-10-01T13:30:00+02:00,72.6,72.9,72.6,72.6,39070,NaN
2020-10-01T13:45:00+02:00,72.6,72.6,72.4,72.5,22370,46180
2020-10-01T14:00:00+02:00,72.5,72.7,72.4,72.5,46900,43419.5
2020-10-01T14:15:00+02:00,72.6,72.7,72.4,72.6,37840,41863.5
2020-10-01T14:30:00+02:00,72.6,72.7,72.5,72.7,83330,41627
2020-10-01T14:45:00+02:00,72.6,72.8,72.5,72.8,23890,41452.5
2020-10-01T15:00:00+02:00,72.7,73,72.7,72.8,30670,41634
2020-10-01T15:15:00+02:00,72.8,72.8,72.6,72.7,49170,42393.5
2020-10-01T15:30:00+02:00,72.6,72.8,72.5,72.8,51300,41860.5
2020-10-01T15:45:00+02:00,72.6,72.8,72.5,72.5,23310,41816.5
