time,open,high,low,close,Volume,Volume MA
2020-10-01T09:00:00+02:00,73.5,73.54,72.72,73.02,252830,NaN
2020-10-01T09:15:00+02:00,73.06,73.42,73.06,73.1,132240,NaN
2020-10-01T09:30:00+02:00,73.08,73.5,73.02,73.38,85810,NaN
2020-10-01T09:45:00+02:00,73.34,73.48,73.02,73.08,112640,NaN
2020-10-01T10:00:00+02:00,73.12,73.12,72.94,73.1,70220,NaN
2020-10-01T10:15:00+02:00,73.12,73.28,73.08,73.24,41520,NaN
2020-10-01T10:30:00+02:00,73.24,73.24,72.9,72.92,57790,NaN
2020-10-01T10:45:00+02:00,72.92,73,72.9,72.96,53350,NaN
2020-10-01T11:00:00+02:00,72.98,73.16,72.98,73.06,42030,NaN
2020-10-01T11:15:00+02:00,73.06,73.22,73.02,73.14,30510,NaN
2020-10-01T11:30:00+02:00,73.16,73.34,73.12,73.34,34770,NaN
2020-10-01T11:45:00+02:00,73.36,73.36,73.12,73.16,18010,NaN
2020-10-01T12:00:00+02:00,73.16,73.24,73.12,73.12,30630,NaN
2020-10-01T12:15:00+02:00,73.1,73.14,72.98,73.06,44060,NaN
2020-10-01T12:30:00+02:00,73.06,73.18,73,73.16,41230,NaN
2020-10-01T12:45:00+02:00,73.16,73.2,73.14,73.14,16100,NaN
2020-10-01T13:00:00+02:00,73.1,73.12,73.02,73.08,15990,NaN
2020-10-01T13:15:00+02:00,73.1,73.1,72.92,73,23020,NaN
2020-10-01T13:30:00+02:00,72.96,72.98,72.84,72.86,45970,NaN
2020-10-01T13:45:00+02:00,72.84,72.86,72.76,72.84,40960,59484
2020-10-01T14:00:00+02:00,72.82,72.92,72.72,72.86,104920,52088.5
2020-10-01T14:15:00+02:00,72.84,73.02,72.84,72.98,49010,47927
2020-10-01T14:30:00+02:00,72.98,73.02,72.92,72.92,32550,45264
2020-10-01T14:45:00+02:00,72.94,73.02,72.84,73.02,75370,43400.5
2020-10-01T15:00:00+02:00,73,73.06,72.94,73.02,83350,44057
2020-10-01T15:15:00+02:00,73,73.04,72.92,73.02,43670,44164.5
2020-10-01T15:30:00+02:00,73,73.06,72.86,72.9,96270,46088.5
2020-10-01T15:45:00+02:00,72.9,72.98,72.82,72.86,78820,47362
2020-10-01T16:00:00+02:00,72.84,72.97,72.72,72.94,93890,49955
2020-10-01T16:15:00+02:00,72.94,73.04,72.84,73,58120,51335.5
2020-10-01T16:30:00+02:00,72.98,73.12,72.98,73.06,42390,51716.5
2020-10-01T16:45:00+02:00,73.05,73.1,72.94,72.94,48760,53254
2020-10-01T17:00:00+02:00,72.96,73.1,72.92,73.06,111410,57293
2020-10-01T17:15:00+02:00,73.08,73.16,72.92,73.16,1467950,128487.5
2020-10-02T09:00:00+02:00,72.58,72.6,72.14,72.2,267170,139784.5
2020-10-02T09:15:00+02:00,72.16,72.46,72.06,72.26,143600,146159.5
2020-10-02T09:30:00+02:00,72.26,72.42,72.18,72.36,76550,149187.5
2020-10-02T09:45:00+02:00,72.36,72.58,72.28,72.52,127450,154409
2020-10-02T10:00:00+02:00,72.56,72.68,72.52,72.56,96770,156949
2020-10-02T10:15:00+02:00,72.6,72.68,72.52,72.64,87560,159279
2020-10-02T10:30:00+02:00,72.6,72.82,72.56,72.74,40110,156038.5
2020-10-02T10:45:00+02:00,72.78,72.86,72.72,72.82,28000,154988
2020-10-02T11:00:00+02:00,72.8,72.8,72.54,72.64,93630,158042
2020-10-02T11:15:00+02:00,72.62,72.68,72.56,72.6,60260,157286.5
2020-10-02T11:30:00+02:00,72.6,72.7,72.56,72.58,61890,156213.5
2020-10-02T11:45:00+02:00,72.56,72.68,72.56,72.66,53740,156717
2020-10-02T12:00:00+02:00,72.64,72.64,72.58,72.62,39050,153856
2020-10-02T12:15:00+02:00,72.62,72.7,72.62,72.68,46020,152216
2020-10-02T12:30:00+02:00,72.66,72.72,72.64,72.72,24380,148740.5
2020-10-02T12:45:00+02:00,72.7,72.72,72.62,72.7,19170,146793
2020-10-02T13:00:00+02:00,72.72,72.74,72.64,72.66,34420,146394.5
2020-10-02T13:15:00+02:00,72.68,72.78,72.66,72.74,52390,146576
2020-10-02T13:30:00+02:00,72.72,72.84,72.72,72.82,40990,143055
2020-10-02T13:45:00+02:00,72.78,72.94,72.78,72.92,100230,74669
2020-10-02T14:00:00+02:00,72.9,73,72.88,72.88,43610,63491
2020-10-02T14:15:00+02:00,72.86,72.94,72.82,72.9,61640,59393
2020-10-02T14:30:00+02:00,72.89,72.92,72.8,72.8,55180,58324.5
2020-10-02T14:45:00+02:00,72.8,72.96,72.66,72.8,140680,58986
2020-10-02T15:00:00+02:00,72.78,72.94,72.74,72.76,134180,60856.5
2020-10-02T15:15:00+02:00,72.74,72.94,72.72,72.94,106830,61820
2020-10-02T15:30:00+02:00,72.96,73.22,72.96,73.2,82520,63940.5
2020-10-02T15:45:00+02:00,73.22,73.26,73.06,73.06,59370,65509
2020-10-02T16:00:00+02:00,73.06,73.22,72.98,73.12,116790,66667
2020-10-02T16:15:00+02:00,73.1,73.24,73.08,73.2,83490,67828.5
2020-10-02T16:30:00+02:00,73.18,73.2,73.02,73.14,93720,69420
2020-10-02T16:45:00+02:00,73.14,73.3,73.14,73.24,74870,70476.5
2020-10-02T17:00:00+02:00,73.24,73.32,73.22,73.26,59270,71487.5
2020-10-02T17:15:00+02:00,73.24,73.3,73.08,73.3,901680,114270.5
2020-10-05T09:00:00+02:00,73.08,73.78,73.06,73.42,173500,121726.5
2020-10-05T09:15:00+02:00,73.42,73.8,73.4,73.78,154650,128500.5
2020-10-05T09:30:00+02:00,73.78,74.14,73.78,73.94,69130,130236
2020-10-05T09:45:00+02:00,73.98,74.14,73.9,74,120350,133634
2020-10-05T10:00:00+02:00,74,74.06,73.86,74,69840,135076.5
2020-10-05T10:15:00+02:00,73.98,74.06,73.82,74,134970,136813.5
2020-10-05T10:30:00+02:00,74,74.16,73.96,74.1,54270,137346.5
2020-10-05T10:45:00+02:00,74.1,74.12,73.86,73.96,92600,138894.5
2020-10-05T11:00:00+02:00,73.98,74,73.9,73.96,37710,138021
2020-10-05T11:15:00+02:00,73.98,74.06,73.92,73.92,48670,133420.5
2020-10-05T11:30:00+02:00,73.94,74.08,73.92,73.94,83100,130866.5
2020-10-05T11:45:00+02:00,73.94,74.08,73.94,74.02,41810,127615.5
2020-10-05T12:00:00+02:00,74.04,74.06,73.92,74,74690,127224
2020-10-05T12:15:00+02:00,74.02,74.16,74.02,74.08,35800,126045.5
2020-10-05T12:30:00+02:00,74.1,74.18,74.04,74.04,31850,121798.5
2020-10-05T12:45:00+02:00,74,74.06,73.82,73.84,54000,120324
2020-10-05T13:00:00+02:00,73.85,73.94,73.85,73.9,24530,116864.5
2020-10-05T13:15:00+02:00,73.86,73.9,73.74,73.76,16110,113926.5
2020-10-05T13:30:00+02:00,73.78,73.8,73.74,73.76,15990,111762.5
2020-10-05T13:45:00+02:00,73.76,73.78,73.58,73.58,30720,68214.5
2020-10-05T14:00:00+02:00,73.56,73.72,73.54,73.72,30330,61056
2020-10-05T14:15:00+02:00,73.7,73.7,73.58,73.62,19930,54320
2020-10-05T14:30:00+02:00,73.62,73.68,73.6,73.68,20280,51877.5
2020-10-05T14:45:00+02:00,73.7,73.82,73.7,73.82,18660,46793
2020-10-05T15:00:00+02:00,73.8,73.8,73.64,73.72,31940,44898
2020-10-05T15:15:00+02:00,73.72,73.74,73.56,73.56,17170,39008
2020-10-05T15:30:00+02:00,73.54,73.68,73.54,73.6,59730,39281
2020-10-05T15:45:00+02:00,73.6,73.62,73.38,73.44,106020,39952
2020-10-05T16:00:00+02:00,73.42,73.66,73.4,73.6,60610,41097
2020-10-05T16:15:00+02:00,73.58,73.72,73.52,73.56,77430,42535
2020-10-05T16:30:00+02:00,73.56,73.64,73.5,73.58,42210,40490.5
2020-10-05T16:45:00+02:00,73.56,73.56,73.44,73.5,51750,40987.5
2020-10-05T17:00:00+02:00,73.5,73.54,73.43,73.46,65350,40520.5
2020-10-05T17:15:00+02:00,73.44,73.52,73.4,73.5,732260,75343.5
2020-10-06T09:00:00+02:00,73.5,73.56,72.9,73.04,205460,84024
2020-10-06T09:15:00+02:00,73.02,73.28,72.96,73,67240,84686
2020-10-06T09:30:00+02:00,73,73,72.64,72.66,93600,88139.5
2020-10-06T09:45:00+02:00,72.66,72.76,72.56,72.64,67940,90731
2020-10-06T10:00:00+02:00,72.6,72.6,72.38,72.42,71690,93516
2020-10-06T10:15:00+02:00,72.4,72.56,72.34,72.54,38380,93899
2020-10-06T10:30:00+02:00,72.58,72.6,72.52,72.6,29140,93839.5
2020-10-06T10:45:00+02:00,72.58,72.6,72.42,72.48,21860,93936
2020-10-06T11:00:00+02:00,72.46,72.52,72.38,72.5,63530,96098.5
2020-10-06T11:15:00+02:00,72.54,72.54,72.34,72.34,22730,96302
2020-10-06T11:30:00+02:00,72.34,72.34,72.14,72.18,53590,97384.5
2020-10-06T11:45:00+02:00,72.2,72.2,72.12,72.18,38420,98447
2020-10-06T12:00:00+02:00,72.16,72.46,72.16,72.46,41180,97519.5
2020-10-06T12:15:00+02:00,72.5,72.54,72.44,72.5,29940,93715.5
