time,open,high,low,close,Volume,Volume MA
2020-10-01T09:00:00+02:00,65.68,65.8,64.86,65.04,42528,NaN
2020-10-01T09:15:00+02:00,64.98,65.34,64.64,64.68,52111,NaN
2020-10-01T09:30:00+02:00,64.64,64.92,64.56,64.84,30909,NaN
2020-10-01T09:45:00+02:00,64.92,65.1,64.88,65.1,24016,NaN
2020-10-01T10:00:00+02:00,65.08,65.08,64.92,65,22551,NaN
2020-10-01T10:15:00+02:00,64.98,65.02,64.74,64.9,14021,NaN
2020-10-01T10:30:00+02:00,64.94,64.94,64.7,64.82,21617,NaN
2020-10-01T10:45:00+02:00,64.82,64.82,64.62,64.68,11341,NaN
2020-10-01T11:00:00+02:00,64.74,64.84,64.74,64.74,2371,NaN
2020-10-01T11:15:00+02:00,64.74,64.86,64.74,64.8,4384,NaN
2020-10-01T11:30:00+02:00,64.74,64.84,64.72,64.76,8402,NaN
2020-10-01T11:45:00+02:00,64.74,65.02,64.58,65.02,34962,NaN
2020-10-01T12:00:00+02:00,64.96,65.04,64.88,64.88,12151,NaN
2020-10-01T12:15:00+02:00,64.86,65.26,64.86,65.18,54219,NaN
2020-10-01T12:30:00+02:00,65.16,65.26,65.06,65.14,14280,NaN
2020-10-01T12:45:00+02:00,65.12,65.2,65.04,65.12,44149,NaN
2020-10-01T13:00:00+02:00,65.1,65.26,65.1,65.26,47910,NaN
2020-10-01T13:15:00+02:00,65.26,65.3,65.16,65.26,10870,NaN
2020-10-01T13:30:00+02:00,65.3,65.38,65.2,65.2,33635,NaN
2020-10-01T13:45:00+02:00,65.2,65.3,65.2,65.3,57184,27180.55
2020-10-01T14:00:00+02:00,65.26,65.26,65.2,65.24,28969,26502.6
2020-10-01T14:15:00+02:00,65.22,65.3,65.2,65.2,63546,27074.35
2020-10-01T14:30:00+02:00,65.28,65.78,65.22,65.72,633575,57207.65
2020-10-01T14:45:00+02:00,65.78,65.86,65.64,65.68,65357,59274.7
2020-10-01T15:00:00+02:00,65.66,65.84,65.62,65.82,51601,60727.2
2020-10-01T15:15:00+02:00,65.82,65.94,65.76,65.86,37128,61882.55
2020-10-01T15:30:00+02:00,65.88,66.02,65.86,65.9,54148,63509.1
2020-10-01T15:45:00+02:00,65.92,66.1,65.74,65.74,33742,64629.15
2020-10-01T16:00:00+02:00,65.72,65.96,65.7,65.9,48537,66937.45
2020-10-01T16:15:00+02:00,65.94,65.94,65.7,65.74,47470,69091.75
2020-10-01T16:30:00+02:00,65.74,65.84,65.68,65.74,49471,71145.2
2020-10-01T16:45:00+02:00,65.72,65.72,65.44,65.54,42301,71512.15
2020-10-01T17:00:00+02:00,65.56,65.76,65.48,65.52,46693,73239.25
2020-10-01T17:15:00+02:00,65.54,65.64,65.5,65.5,126053,76830.95
2020-10-02T09:00:00+02:00,64.98,65.1,64.68,64.92,50263,78630.1
2020-10-02T09:15:00+02:00,64.92,65.38,64.92,65.3,46599,78752.6
2020-10-02T09:30:00+02:00,65.36,65.58,65.12,65.14,46627,78688.45
2020-10-02T09:45:00+02:00,65.14,65.16,64.64,64.64,25694,79429.65
2020-10-02T10:00:00+02:00,64.64,64.96,64.64,64.9,18297,78662.75
2020-10-02T10:15:00+02:00,64.9,65,64.78,64.92,33232,77465.15
2020-10-02T10:30:00+02:00,64.84,64.92,64.62,64.78,14446,76739
2020-10-02T10:45:00+02:00,64.8,64.84,64.54,64.66,8410,73982.2
2020-10-02T11:00:00+02:00,64.66,64.74,64.44,64.5,14627,43034.8
2020-10-02T11:15:00+02:00,64.42,64.6,64.42,64.52,10608,40297.35
2020-10-02T11:30:00+02:00,64.48,64.66,64.46,64.58,10971,38265.85
2020-10-02T11:45:00+02:00,64.6,64.64,64.38,64.46,11214,36970.15
2020-10-02T12:00:00+02:00,64.46,64.48,64.24,64.32,17766,35151.05
2020-10-02T12:15:00+02:00,64.34,64.54,64.26,64.42,15373,34232.6
2020-10-02T12:30:00+02:00,64.42,64.48,64.38,64.38,6420,32126.75
2020-10-02T12:45:00+02:00,64.4,64.4,64.24,64.32,2777,29892.1
2020-10-02T13:00:00+02:00,64.34,64.34,64.2,64.26,22513,28544.2
2020-10-02T13:15:00+02:00,64.26,64.26,64.02,64.14,16969,27277.6
2020-10-02T13:30:00+02:00,64.14,64.22,64,64.22,29075,26396.7
2020-10-02T13:45:00+02:00,64.22,64.22,64.08,64.08,45311,22359.6
2020-10-02T14:00:00+02:00,64.06,64.18,63.92,64.16,13226,20507.75
2020-10-02T14:15:00+02:00,64.16,64.22,64.12,64.16,23165,19336.05
2020-10-02T14:30:00+02:00,64.16,64.26,64,64,33777,18693.55
2020-10-02T14:45:00+02:00,64,64,63.82,63.94,6704,17744.05
2020-10-02T15:00:00+02:00,63.92,63.92,63.6,63.66,66322,20145.3
2020-10-02T15:15:00+02:00,63.66,63.74,63.5,63.6,15715,19269.45
2020-10-02T15:30:00+02:00,63.6,64.2,63.48,64.18,45004,20797.35
2020-10-02T15:45:00+02:00,64.18,64.18,63.94,63.98,32877,22020.7
2020-10-02T16:00:00+02:00,64.04,64.24,64.04,64.19,36594,23119.05
2020-10-02T16:15:00+02:00,64.22,64.34,64.08,64.22,28743,24025.8
2020-10-02T16:30:00+02:00,64.2,64.3,64.08,64.12,29398,24947.15
2020-10-02T16:45:00+02:00,64.14,64.16,63.98,64.1,25444,25658.65
2020-10-02T17:00:00+02:00,64.1,64.12,63.92,63.94,23349,25937.8
2020-10-02T17:15:00+02:00,63.98,64.26,63.92,63.96,78383,29088.3
2020-10-05T09:00:00+02:00,64.64,64.92,64.4,64.84,48688,31201.7
2020-10-05T09:15:00+02:00,64.86,65.24,64.74,65.02,97790,35952.35
2020-10-05T09:30:00+02:00,65,65.16,64.98,65.06,31441,36398.75
2020-10-05T09:45:00+02:00,65.14,65.22,64.98,65.15,37225,37411.55
2020-10-05T10:00:00+02:00,65.14,65.2,65.04,65.06,24642,37189.9
2020-10-05T10:15:00+02:00,65.04,65.1,64.56,64.56,18566,35852.65
2020-10-05T10:30:00+02:00,64.56,64.92,64.56,64.86,21881,36285.4
2020-10-05T10:45:00+02:00,64.87,64.87,64.62,64.62,12468,35750.55
2020-10-05T11:00:00+02:00,64.62,64.64,64.44,64.5,23144,35218.9
2020-10-05T11:15:00+02:00,64.46,64.62,64.36,64.48,34955,36631.45
2020-10-05T11:30:00+02:00,64.48,64.48,64.22,64.28,22823,34456.5
2020-10-05T11:45:00+02:00,64.4,64.48,64.36,64.48,6572,33999.35
2020-10-05T12:00:00+02:00,64.48,64.84,64.44,64.62,19715,32734.9
2020-10-05T12:15:00+02:00,64.62,64.86,64.62,64.8,8841,31533.1
2020-10-05T12:30:00+02:00,64.78,64.8,64.51,64.56,7505,30078.65
2020-10-05T12:45:00+02:00,64.56,64.56,64.4,64.52,4630,28873
2020-10-05T13:00:00+02:00,64.5,64.66,64.42,64.6,6362,27721.2
2020-10-05T13:15:00+02:00,64.58,64.84,64.55,64.72,27741,27836.05
2020-10-05T13:30:00+02:00,64.66,64.86,64.66,64.86,19648,27651
2020-10-05T13:45:00+02:00,64.88,65,64.84,64.98,16691,24566.4
2020-10-05T14:00:00+02:00,64.98,65.08,64.9,65.06,19218,23092.9
2020-10-05T14:15:00+02:00,65.02,65.1,64.96,65.04,18914,19149.1
2020-10-05T14:30:00+02:00,65.04,65.1,65,65,17487,18451.4
2020-10-05T14:45:00+02:00,64.98,65.08,64.9,65.08,14734,17326.85
2020-10-05T15:00:00+02:00,65.08,65.1,64.96,65.1,28997,17544.6
2020-10-05T15:15:00+02:00,65.1,65.18,65.08,65.12,20214,17627
2020-10-05T15:30:00+02:00,65.12,65.14,64.88,64.9,18174,17441.65
2020-10-05T15:45:00+02:00,64.94,65.04,64.92,64.94,10847,17360.6
2020-10-05T16:00:00+02:00,64.94,65,64.76,64.88,14429,16924.85
2020-10-05T16:15:00+02:00,64.92,64.96,64.46,64.46,43908,17372.5
2020-10-05T16:30:00+02:00,64.46,64.76,64.46,64.56,29873,17725
2020-10-05T16:45:00+02:00,64.54,64.56,64.38,64.42,26470,18719.9
2020-10-05T17:00:00+02:00,64.44,64.5,64.4,64.44,21874,18827.85
2020-10-05T17:15:00+02:00,64.42,64.44,64.32,64.38,63862,21578.9
2020-10-06T09:00:00+02:00,64.38,64.8,64.3,64.38,41865,23296.9
2020-10-06T09:15:00+02:00,64.5,65.06,64.5,64.86,24674,24299.1
2020-10-06T09:30:00+02:00,64.88,66.1,64.72,66.08,121235,30042.75
2020-10-06T09:45:00+02:00,66,66,65.46,65.76,31578,30234.6
2020-10-06T10:00:00+02:00,65.7,65.72,65.22,65.22,27121,30608.25
2020-10-06T10:15:00+02:00,65.28,65.44,65.24,65.36,10341,30290.75
2020-10-06T10:30:00+02:00,65.36,65.5,65.3,65.3,19870,30323.35
2020-10-06T10:45:00+02:00,65.24,65.3,65.2,65.3,23192,30537.25
2020-10-06T11:00:00+02:00,65.26,65.34,65.2,65.28,19365,30631.15
