time,open,high,low,close,VWAP,Upper Band,Lower Band,Volume,Volume MA
2020-10-01T09:00:00+02:00,305,305,301,302.8,NaN,NaN,NaN,3788,NaN
2020-10-01T09:15:00+02:00,301.2,304,300.4,300.6,NaN,NaN,NaN,3167,NaN
2020-10-01T09:30:00+02:00,300.4,304,300.4,303.4,NaN,NaN,NaN,4168,NaN
2020-10-01T09:45:00+02:00,303.4,304,302.8,304,NaN,NaN,NaN,266,NaN
2020-10-01T10:00:00+02:00,302.8,303.6,301.6,303.6,NaN,NaN,NaN,3274,NaN
2020-10-01T10:15:00+02:00,303,303.8,302.2,303.2,NaN,NaN,NaN,1538,NaN
2020-10-01T10:30:00+02:00,303.8,303.8,303.2,303.8,NaN,NaN,NaN,1923,NaN
2020-10-01T10:45:00+02:00,303.8,303.8,302.6,302.8,NaN,NaN,NaN,1354,NaN
2020-10-01T11:00:00+02:00,303.2,303.8,302,303.8,NaN,NaN,NaN,2168,NaN
2020-10-01T11:15:00+02:00,303.8,303.8,302.8,302.8,NaN,NaN,NaN,3231,NaN
2020-10-01T11:30:00+02:00,302.8,305,302.8,305,NaN,NaN,NaN,4356,NaN
2020-10-01T11:45:00+02:00,305,305.6,303.8,303.8,NaN,NaN,NaN,4865,NaN
2020-10-01T12:00:00+02:00,303.6,305,303.4,304,NaN,NaN,NaN,896,NaN
2020-10-01T12:15:00+02:00,304,304.2,303.6,303.6,NaN,NaN,NaN,487,NaN
2020-10-01T12:30:00+02:00,303.6,303.8,303,303,NaN,NaN,NaN,985,NaN
2020-10-01T12:45:00+02:00,302.8,303.8,302.6,303.8,NaN,NaN,NaN,2189,NaN
2020-10-01T13:00:00+02:00,304,304.6,303.2,303.2,NaN,NaN,NaN,1571,NaN
2020-10-01T13:15:00+02:00,303,304.4,302.2,304.4,NaN,NaN,NaN,2017,NaN
2020-10-01T13:30:00+02:00,304.4,304.4,303.2,303.2,NaN,NaN,NaN,894,NaN
2020-10-01T13:45:00+02:00,303.6,303.8,303,303.2,NaN,NaN,NaN,810,2197.35
2020-10-01T14:00:00+02:00,303,303.4,301.8,301.8,NaN,NaN,NaN,1409,2078.4
