time,open,high,low,close,VWAP,Upper Band,Lower Band,Volume,Volume MA
2020-10-01T09:00:00+02:00,250,250,246.5,247.5,NaN,NaN,NaN,7021,NaN
2020-10-01T09:15:00+02:00,247,248,246.5,247,NaN,NaN,NaN,1884,NaN
2020-10-01T09:30:00+02:00,247.5,248,246.5,248,NaN,NaN,NaN,1371,NaN
2020-10-01T09:45:00+02:00,247.5,247.5,246,246.5,NaN,NaN,NaN,4155,NaN
2020-10-01T10:00:00+02:00,246.5,247,246,246.5,NaN,NaN,NaN,1624,NaN
2020-10-01T10:15:00+02:00,246.5,247,245.5,246,NaN,NaN,NaN,4556,NaN
2020-10-01T10:30:00+02:00,247,247,244.5,245,NaN,NaN,NaN,4542,NaN
2020-10-01T10:45:00+02:00,245,245.5,244.5,245.5,NaN,NaN,NaN,1789,NaN
2020-10-01T11:00:00+02:00,245,246,245,245.5,NaN,NaN,NaN,1491,NaN
2020-10-01T11:15:00+02:00,245.5,246,245.5,245.5,NaN,NaN,NaN,1128,NaN
2020-10-01T11:30:00+02:00,245.5,246,245,245.5,NaN,NaN,NaN,308,NaN
2020-10-01T11:45:00+02:00,245.5,246,245.5,246,NaN,NaN,NaN,1485,NaN
2020-10-01T12:00:00+02:00,246,247,246,247,NaN,NaN,NaN,2739,NaN
2020-10-01T12:15:00+02:00,247,247,246,246.5,NaN,NaN,NaN,1044,NaN
2020-10-01T12:30:00+02:00,246,246.5,246,246.5,NaN,NaN,NaN,398,NaN
2020-10-01T12:45:00+02:00,246,247,246,246.5,NaN,NaN,NaN,423,NaN
2020-10-01T13:00:00+02:00,246.5,247,246,247,NaN,NaN,NaN,982,NaN
2020-10-01T13:15:00+02:00,247,247,246,246,NaN,NaN,NaN,1125,NaN
2020-10-01T13:30:00+02:00,246,246.5,245.5,245.5,NaN,NaN,NaN,1519,NaN
2020-10-01T13:45:00+02:00,245.5,246,245,245,NaN,NaN,NaN,1027,2030.55
2020-10-01T14:00:00+02:00,246,246,245,245.5,NaN,NaN,NaN,179,1688.45
2020-10-01T14:15:00+02:00,245,245.5,245,245.5,NaN,NaN,NaN,1440,1666.25
2020-10-01T14:30:00+02:00,245.5,246,245,245.5,NaN,NaN,NaN,866,1641
2020-10-01T14:45:00+02:00,246,246,245,245.5,NaN,NaN,NaN,904,1478.45
2020-10-01T15:00:00+02:00,245,245.5,245,245,NaN,NaN,NaN,710,1432.75
2020-10-01T15:15:00+02:00,245.5,245.5,243.5,245,NaN,NaN,NaN,6564,1533.15
2020-10-01T15:30:00+02:00,244.5,245.5,244.5,244.5,NaN,NaN,NaN,1986,1405.35
2020-10-01T15:45:00+02:00,244.5,244.5,243.5,244,NaN,NaN,NaN,1120,1371.9
2020-10-01T16:00:00+02:00,243.5,244,243,243,NaN,NaN,NaN,3589,1476.8
2020-10-01T16:15:00+02:00,243,244,243,244,NaN,NaN,NaN,659,1453.35
2020-10-01T16:30:00+02:00,244,244.5,244,244,NaN,NaN,NaN,680,1471.95
2020-10-01T16:45:00+02:00,244,245,244,245,NaN,NaN,NaN,1690,1482.2
2020-10-01T17:00:00+02:00,245,245.5,244.5,245,NaN,NaN,NaN,1167,1403.6
2020-10-01T17:15:00+02:00,244.5,245,244,245,NaN,NaN,NaN,4520,1577.4
2020-10-02T09:00:00+02:00,240,243,238,241,NaN,NaN,NaN,6474,1881.2
2020-10-02T09:15:00+02:00,241,242.5,238,241,NaN,NaN,NaN,9052,2312.65
2020-10-02T09:30:00+02:00,241,242,240,241.5,NaN,NaN,NaN,2120,2369.55
2020-10-02T09:45:00+02:00,241,241,240,240.5,NaN,NaN,NaN,1103,2368.45
2020-10-02T10:00:00+02:00,240.5,241.5,240.5,241.5,NaN,NaN,NaN,1416,2363.3
2020-10-02T10:15:00+02:00,241,241.5,238,238,NaN,NaN,NaN,8949,2759.4
2020-10-02T10:30:00+02:00,238.5,240,238.5,239,NaN,NaN,NaN,4114,2956.15
2020-10-02T10:45:00+02:00,239,240,239,240,NaN,NaN,NaN,984,2933.35
2020-10-02T11:00:00+02:00,240,240,239.5,240,NaN,NaN,NaN,1000,2940.05
2020-10-02T11:15:00+02:00,240,240.5,239.5,239.5,NaN,NaN,NaN,2231,3006.4
2020-10-02T11:30:00+02:00,240,241,239.5,240.5,NaN,NaN,NaN,1965,3069.15
2020-10-02T11:45:00+02:00,240.5,240.5,240,240,NaN,NaN,NaN,1084,2795.15
2020-10-02T12:00:00+02:00,239.5,240,239.5,240,NaN,NaN,NaN,1145,2753.1
2020-10-02T12:15:00+02:00,240,240.5,239.5,240,NaN,NaN,NaN,786,2736.4
